price,date,postcode,property_type,old_new,duration,district,county
425000,2025-07-28 00:00,SK14 3AZ,D,N,F,TAMESIDE,GREATER MANCHESTER
257500,2025-08-14 00:00,M32 0PL,T,N,L,TRAFFORD,GREATER MANCHESTER
227000,2025-07-25 00:00,M34 7TQ,S,N,L,TAMESIDE,GREATER MANCHESTER
195050,2025-07-31 00:00,SK14 5PB,T,N,F,TAMESIDE,GREATER MANCHESTER
480000,2025-07-31 00:00,M23 9JP,S,N,F,MANCHESTER,GREATER MANCHESTER
125000,2025-07-28 00:00,M28 3JA,F,N,L,SALFORD,GREATER MANCHESTER
550000,2025-07-21 00:00,M26 1YN,D,N,F,BURY,GREATER MANCHESTER
150000,2025-07-04 00:00,M12 4NZ,T,N,L,MANCHESTER,GREATER MANCHESTER
250000,2025-07-31 00:00,M32 8JN,S,N,L,TRAFFORD,GREATER MANCHESTER
280000,2025-07-18 00:00,M23 9AY,T,N,F,MANCHESTER,GREATER MANCHESTER
96000,2025-08-15 00:00,OL8 1PW,T,N,L,OLDHAM,GREATER MANCHESTER
1166000,2025-03-28 00:00,M33 5PA,D,N,F,TRAFFORD,GREATER MANCHESTER
259750,2025-07-25 00:00,M43 7EQ,S,N,L,TAMESIDE,GREATER MANCHESTER
693000,2025-01-10 00:00,WA15 9NX,S,N,F,TRAFFORD,GREATER MANCHESTER
169000,2025-08-19 00:00,M3 6AJ,F,N,L,SALFORD,GREATER MANCHESTER
205000,2025-08-15 00:00,OL5 0SP,T,N,F,TAMESIDE,GREATER MANCHESTER
225000,2025-07-14 00:00,M27 6EX,T,N,F,SALFORD,GREATER MANCHESTER
262000,2025-08-19 00:00,M24 1WS,D,N,L,ROCHDALE,GREATER MANCHESTER
138000,2025-02-28 00:00,WN6 0QF,T,N,F,WIGAN,GREATER MANCHESTER
181000,2025-08-06 00:00,M43 6HW,S,N,L,TAMESIDE,GREATER MANCHESTER
200000,2025-08-15 00:00,BL2 6NX,S,N,L,BOLTON,GREATER MANCHESTER
360000,2025-06-24 00:00,OL1 4GP,D,N,L,OLDHAM,GREATER MANCHESTER
240000,2025-01-24 00:00,M32 9PE,T,N,F,TRAFFORD,GREATER MANCHESTER
147000,2025-07-04 00:00,OL4 3QB,T,N,F,OLDHAM,GREATER MANCHESTER
165000,2025-07-28 00:00,WN7 2NF,T,N,F,WIGAN,GREATER MANCHESTER
90000,2025-08-07 00:00,WN2 5PH,T,N,L,WIGAN,GREATER MANCHESTER
251000,2025-07-16 00:00,M15 6HQ,F,N,L,MANCHESTER,GREATER MANCHESTER
124000,2025-08-15 00:00,WA3 3TW,T,N,L,WIGAN,GREATER MANCHESTER
155000,2025-07-24 00:00,M3 4LA,F,N,L,MANCHESTER,GREATER MANCHESTER
272000,2025-07-04 00:00,OL15 0DR,D,N,L,ROCHDALE,GREATER MANCHESTER
205000,2025-07-14 00:00,WN3 6TH,S,N,F,WIGAN,GREATER MANCHESTER
125000,2025-01-21 00:00,M35 9LS,O,N,L,OLDHAM,GREATER MANCHESTER
120000,2025-01-10 00:00,WN1 3XT,T,N,F,WIGAN,GREATER MANCHESTER
205000,2025-01-10 00:00,OL12 6AW,O,N,F,ROCHDALE,GREATER MANCHESTER
280000,2025-01-01 00:00,M20 1BS,S,N,F,MANCHESTER,GREATER MANCHESTER
145000,2025-01-10 00:00,SK14 4NF,O,N,L,TAMESIDE,GREATER MANCHESTER
72000,2025-01-17 00:00,SK14 6PG,T,N,F,TAMESIDE,GREATER MANCHESTER
91000,2025-01-03 00:00,WN5 9DR,T,N,F,WIGAN,GREATER MANCHESTER
280000,2025-01-01 00:00,M20 1GX,T,N,F,MANCHESTER,GREATER MANCHESTER
763000,2025-01-08 00:00,M2 3WQ,D,N,L,MANCHESTER,GREATER MANCHESTER
300000,2025-01-01 00:00,SK3 8QA,D,N,F,STOCKPORT,GREATER MANCHESTER
280000,2025-01-01 00:00,M20 1HH,S,N,F,MANCHESTER,GREATER MANCHESTER
140000,2025-01-09 00:00,M33 2RS,T,N,F,TRAFFORD,GREATER MANCHESTER
108000,2025-01-06 00:00,WN7 4EB,T,N,L,WIGAN,GREATER MANCHESTER
300000,2025-01-16 00:00,M8 4QY,S,N,F,MANCHESTER,GREATER MANCHESTER
610000,2025-01-10 00:00,M22 4BN,D,N,F,MANCHESTER,GREATER MANCHESTER
345000,2025-01-07 00:00,BL2 3DU,D,N,L,BOLTON,GREATER MANCHESTER
266000,2025-01-10 00:00,SK4 2JL,T,N,F,STOCKPORT,GREATER MANCHESTER
280000,2025-01-10 00:00,M23 9QF,D,N,L,MANCHESTER,GREATER MANCHESTER
120000,2025-01-06 00:00,BL4 7NG,T,N,L,BOLTON,GREATER MANCHESTER
425000,2025-01-20 00:00,WN4 9LW,D,N,F,WIGAN,GREATER MANCHESTER
238000,2025-01-08 00:00,BL6 5TQ,S,N,F,BOLTON,GREATER MANCHESTER
287500,2025-01-06 00:00,SK8 7AG,T,N,L,STOCKPORT,GREATER MANCHESTER
201846,2025-01-10 00:00,M27 9SY,T,N,L,SALFORD,GREATER MANCHESTER
120000,2025-01-20 00:00,M26 1NQ,T,N,L,BURY,GREATER MANCHESTER
87000,2025-01-16 00:00,M46 0QG,T,N,L,WIGAN,GREATER MANCHESTER
158000,2025-01-17 00:00,M24 1UL,T,N,F,ROCHDALE,GREATER MANCHESTER
280000,2025-01-01 00:00,M20 1EY,S,N,F,MANCHESTER,GREATER MANCHESTER
162000,2025-01-02 00:00,M23 9HJ,F,N,L,MANCHESTER,GREATER MANCHESTER
224000,2025-01-06 00:00,M23 0PR,S,N,F,MANCHESTER,GREATER MANCHESTER
107500,2025-01-13 00:00,M24 2HU,T,N,L,ROCHDALE,GREATER MANCHESTER
230000,2025-01-01 00:00,M18 7WQ,T,N,F,MANCHESTER,GREATER MANCHESTER
135000,2025-01-01 00:00,M18 7AQ,T,N,F,MANCHESTER,GREATER MANCHESTER
615000,2025-05-21 00:00,SK8 5HY,O,N,F,STOCKPORT,GREATER MANCHESTER
200000,2025-05-15 00:00,SK5 7AW,T,N,F,STOCKPORT,GREATER MANCHESTER
95000,2025-05-23 00:00,BL2 2QJ,T,N,L,BOLTON,GREATER MANCHESTER
121900,2025-05-29 00:00,BL3 3JT,T,N,F,BOLTON,GREATER MANCHESTER
90000,2025-05-09 00:00,WN2 3RU,T,N,F,WIGAN,GREATER MANCHESTER
180000,2025-02-28 00:00,BL7 9BT,O,N,L,BOLTON,GREATER MANCHESTER
528000,2025-02-25 00:00,M21 0UT,S,N,F,MANCHESTER,GREATER MANCHESTER
120000,2025-05-28 00:00,WN2 3UQ,T,N,F,WIGAN,GREATER MANCHESTER
184000,2025-03-25 00:00,WN3 5QB,S,N,L,WIGAN,GREATER MANCHESTER
130000,2025-05-16 00:00,OL6 6JE,T,N,F,TAMESIDE,GREATER MANCHESTER
210000,2025-05-20 00:00,SK6 5AA,S,N,L,STOCKPORT,GREATER MANCHESTER
160000,2025-06-17 00:00,M6 5PH,T,N,F,SALFORD,GREATER MANCHESTER
420000,2025-03-28 00:00,SK3 8SX,D,N,F,STOCKPORT,GREATER MANCHESTER
75000,2025-05-30 00:00,OL16 2QX,S,N,L,ROCHDALE,GREATER MANCHESTER
